LINIA_29|SERVEI_29|CIRCUIT_29|DESCRIPCION_CIRCUITO|PROPIETARIJS|NOM_29|TIPUS_SERVEI_CONJUNT_29|TIPO_DESCRIPCION|EMPRESA_A_29|ARMADOR|EMPRESA_C_29|CONSIGNATARIO|NOMBRE_COMERCIAL_CONSIGNATARIO|DIRECCION_CONSIGNATARIO|DIRECCION_EXT_CONSIGNATARIO|POBLACION_CONSIGNATARIO|CODIGO_POSTAL_CONSIGNATARIO|PAIS_CONSIGNATARIO|TELEFONO_CONSIGNATARIO|FAX_CONSIGNATARIO|EMAIL_CONSIGNATARIO|WEB_CONSIGNATARIO|EMPRESA_E_29|ESTIBADOR|NOMBRE_COMERCIAL_ESTIBADOR|DIRECCION_ESTIBADOR|DIRECCION_EXT_ESTIBADOR|POBLACION_ESTIBADOR|CODIGO_POSTAL_ESTIBADOR|PAIS_ESTIBADOR|TELEFONO_ESTIBADOR|FAX_ESTIBADOR|EMAIL_ESTIBADOR|WEB_ESTIBADOR|TIPUS_SERVEI_29|DESCRIPCION_SERVICIO|FREQUENCIA_DIES_29|CAPACITAT_29|MIDA_CAPACITAT_29|APB_LLRR_29
20686|SPX|I|Import|S|SPX 1|V|BUQUE|13337|X-PRESS CONTAINER LINE (UK)LTD?|40043|PEREZ Y CIA SL|PEREZ Y CIA SL|C Via Laietana||BARCELONA|08003|ES|+34934437900|+34934437921|barcelona@perezycia.com|http://www.perezycia.com|10441|APM TERMINALS BARCELONA SLU|APM TERMINALS BARCELONA|CR Ronda del Port|Moll Sud - Port de Barcelona|BARCELONA|08039|ES|+34934410066|+34934410418|atencionclientebcn@apmterminals.com|https://www.apmterminals.com/es/barcelona|03|Portacontenedores|S|707|TEU|213
20690|MEDCR|I|Import|S|MEDITERRANEO-CARIBE|V|BUQUE|1797|COMPAGNIE MARITIME D'AFFRETEME|36553|CMA CGM IBERICA SAU|CMA CGM IBERICA SAU|AV Ports d'Europa|Service Center|BARCELONA|08040|ES|+34933196800|+34933197721|ibc.edi@cma-cgm.com|http://www.cma-cgm.com|800|HUTCHISON PORTS BEST|HUTCHISON PORTS BEST|AV ESTANY DE PORT||EL PRAT DE LLOBREGAT|08820|ES|+34935084440|+34935084441|terminal.catalunya@best.com.es|http://www.best.com.es/es/|03|Portacontenedores|S|6689|TEU|217
20699|ESTGR|I|Import|S|ASA / MARMARA / IRE|V|BUQUE|13735|EMES LINE SHIPPING & TRANSPORT?|38644|ARKAS SPAIN SA|ARKAS SPAIN SA|C World Trade Center Barcelona|Moll de Barcelona, s/n, mod 709-710|BARCELONA|08039|ES|+34931440050|+34931440051|arkas-spain@arkas-spain.com|http://www.arkas.com|10441|APM TERMINALS BARCELONA SLU|APM TERMINALS BARCELONA|CR Ronda del Port|Moll Sud - Port de Barcelona|BARCELONA|08039|ES|+34934410066|+34934410418|atencionclientebcn@apmterminals.com|https://www.apmterminals.com/es/barcelona|03|Portacontenedores|S|2474|TEU|233
20692|MEDCR|E|Export|N|MEDITERRANEO-CARIBE|V|BUQUE|12673|MARFRET                       ?|24|AGENCIA MARITIMA ESPA?OLA EVGE SA|AGENCIA MARITIMA ESPA?OLA EVGE SA|AV Avda. Francesc Cambo||Barcelona|08003|ES|+34933905800|+34932681750|evge@evgebcn.com|http://www.evgebcn.com|800|HUTCHISON PORTS BEST|HUTCHISON PORTS BEST|AV ESTANY DE PORT||EL PRAT DE LLOBREGAT|08820|ES|+34935084440|+34935084441|terminal.catalunya@best.com.es|http://www.best.com.es/es/|03|Portacontenedores|S|6689|TEU|217
20704|BAL4|I|Import|S|BALEARIA BARCELONA - MENORCA|V|BUQUE|23062|EUROLINEAS MARITIMAS S.A?|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|11|Ferry|S123457|2000|MLI|325
20705|SSCVV|I|Import|N|BARCELONA-CIVITAVECCHIA|V|BUQUE|503422|GRIMALDI EUROMED SPA?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|500282|GRIMALDI TERMINAL BARCELONA|GRIMALDI TERMINAL BARCELONA|C MUELLE COSTA||BARCELONA|08039|ES|+34935020406|+34934882528|pirrone@grimaldilogistica.com;pardo@grimaldilogistica.com||11|Ferry|S234567|3050|MLI|318
20804|NEP01|E|Export|N|LINE 01|V|BUQUE|53436|NEPTUNE LINES SHIPPING?|43|NEPTUNE BARCELONA SA|NEPTUNE BARCELONA SA|AV DRASSANES|EDIF. COLON|BARCELONA|08001|ES|+34933170005|+34934121103|neptunebcn@neptune-bcn.com|http://www.neptune-bcn.com|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|S|3000|CAR|39
20805|NEP01|I|Import|N|LINE 01|V|BUQUE|53436|NEPTUNE LINES SHIPPING?|43|NEPTUNE BARCELONA SA|NEPTUNE BARCELONA SA|AV DRASSANES|EDIF. COLON|BARCELONA|08001|ES|+34933170005|+34934121103|neptunebcn@neptune-bcn.com|http://www.neptune-bcn.com|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|S|3000|CAR|39
20744|BCNLI|I|Import|N|BARCELONA - LIVORNO - SAVONA|V|BUQUE|503422|GRIMALDI EUROMED SPA?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|500282|GRIMALDI TERMINAL BARCELONA|GRIMALDI TERMINAL BARCELONA|C MUELLE COSTA||BARCELONA|08039|ES|+34935020406|+34934882528|pirrone@grimaldilogistica.com;pardo@grimaldilogistica.com||10|Ro-Ro|S12345|4000|MLI|62
20887|BAL4|E|Export|N|BALEARIA BARCELONA - MENORCA|V|BUQUE|23062|EUROLINEAS MARITIMAS S.A?|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|11|Ferry|S123457|2000|MLI|325
20964|LAN|E|Export|S|LINE ANNABA|V|BUQUE|12562|MEDITERRANEAN SHIPPING CO     ?|53155|MEDITERRANEAN SHIPPING|MEDITERRANEAN SHIPPING|C Del Foc||BARCELONA|08038|ES|+34935082300|+34935082301|ES048-ctrcontrol@msc.com|https://www.msc.com/esp|800|HUTCHISON PORTS BEST|HUTCHISON PORTS BEST|AV ESTANY DE PORT||EL PRAT DE LLOBREGAT|08820|ES|+34935084440|+34935084441|terminal.catalunya@best.com.es|http://www.best.com.es/es/|03|Portacontenedores|S|1200|TEU|57
21264|STMM1|E|Export|S|SFAX|V|BUQUE|53411|MTL CONTAINER LINES?|52558|BERGE MARITIMA SL|BERGE MARITIMA SL|C Moll Adossat||Barcelona|08040|ES|+34932234264||consignacion.bcn@berge-m.es|http://www.berge-m.es|806|TERMINAL PORT NOU SA|TERMINAL PORT NOU SA|C Muelle Adosado||Barcelona|08039|ES|+34932273800|+34932273801|sit@portnou.com|http://www.portnou.com|03|Portacontenedores|Q|700|TEU|24
21265|STMM1|I|Import|S|SFAX|V|BUQUE|53411|MTL CONTAINER LINES?|52558|BERGE MARITIMA SL|BERGE MARITIMA SL|C Moll Adossat||Barcelona|08040|ES|+34932234264||consignacion.bcn@berge-m.es|http://www.berge-m.es|806|TERMINAL PORT NOU SA|TERMINAL PORT NOU SA|C Muelle Adosado||Barcelona|08039|ES|+34932273800|+34932273801|sit@portnou.com|http://www.portnou.com|03|Portacontenedores|Q|700|TEU|24
20626|MEDCA|I|Import|S|T.SUSPEND:MED SPA-MAROC SERV (IBEX)|V|BUQUE|3074|HOLLAND MAAS SHIPPING|52527|WEC LINES ESPA?A SLU|WEC LINES ESPA?A SLU|C Metal.lurgia||Barcelona|08038|ES|+34932683361|+34933196219|doc.bcn@wec-lines.es|http://www.weclines.com/|800|HUTCHISON PORTS BEST|HUTCHISON PORTS BEST|AV ESTANY DE PORT||EL PRAT DE LLOBREGAT|08820|ES|+34935084440|+34935084441|terminal.catalunya@best.com.es|http://www.best.com.es/es/|03|Portacontenedores|S|700|TEU|46
21044|BCNSA|E|Export|N|BARCELONA - LIVORNO - SAVONA|V|BUQUE|503422|GRIMALDI EUROMED SPA?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|500282|GRIMALDI TERMINAL BARCELONA|GRIMALDI TERMINAL BARCELONA|C MUELLE COSTA||BARCELONA|08039|ES|+34935020406|+34934882528|pirrone@grimaldilogistica.com;pardo@grimaldilogistica.com||10|Ro-Ro|S123456|4000|MLI|62
21045|BCNSA|I|Import|N|BARCELONA - LIVORNO - SAVONA|V|BUQUE|503422|GRIMALDI EUROMED SPA?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|500282|GRIMALDI TERMINAL BARCELONA|GRIMALDI TERMINAL BARCELONA|C MUELLE COSTA||BARCELONA|08039|ES|+34935020406|+34934882528|pirrone@grimaldilogistica.com;pardo@grimaldilogistica.com||10|Ro-Ro|S123456|4000|MLI|62
20602|MPS|E|Export|S|MPS / MCPS|V|BUQUE|12627|HAPAG-LLOYD,A.G.              ?|54|HAPAG-LLOYD SPAIN SL|HAPAG-LLOYD SPAIN SL|C COMTAL||BARCELONA|08002|ES|+34933436000|+34934121618|Barcelona.Operations@hlag.com|http://www.hapag-lloyd.com|10441|APM TERMINALS BARCELONA SLU|APM TERMINALS BARCELONA|CR Ronda del Port|Moll Sud - Port de Barcelona|BARCELONA|08039|ES|+34934410066|+34934410418|atencionclientebcn@apmterminals.com|https://www.apmterminals.com/es/barcelona|03|Portacontenedores|S|4393|TEU|37
20652|TAL|I|Import|S|MEXICO-USA-EUROPA-MEDITER I|V|BUQUE|12677|K LINE                        ?|1360|AGENCIA MARITIMA CONDEMINAS SA|AGENCIA MARITIMA CONDEMINAS SA|AV Ports d'Europa|Service Center ZAL|Barcelona|08040|ES|+34935525492|+34933969416|AMC.bcn@amcondeminas.com|http://www.bergeycia.es|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|Q|6000|CAR|105
20724|CANAR|I|Import|S|EAST SPAIN-CANARY SERVICE |V|BUQUE|3074|HOLLAND MAAS SHIPPING|52527|WEC LINES ESPA?A SLU|WEC LINES ESPA?A SLU|C Metal.lurgia||Barcelona|08038|ES|+34932683361|+34933196219|doc.bcn@wec-lines.es|http://www.weclines.com/|800|HUTCHISON PORTS BEST|HUTCHISON PORTS BEST|AV ESTANY DE PORT||EL PRAT DE LLOBREGAT|08820|ES|+34935084440|+34935084441|terminal.catalunya@best.com.es|http://www.best.com.es/es/|03|Portacontenedores|S|865|TEU|350
20808|NEP10|E|Export|N|LINE 09|V|BUQUE|53436|NEPTUNE LINES SHIPPING?|43|NEPTUNE BARCELONA SA|NEPTUNE BARCELONA SA|AV DRASSANES|EDIF. COLON|BARCELONA|08001|ES|+34933170005|+34934121103|neptunebcn@neptune-bcn.com|http://www.neptune-bcn.com|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|S|3000|CAR|39
20888|BAL3|I|Import|N|BALEARIA BCN - IBIZA|V|BUQUE|23062|EUROLINEAS MARITIMAS S.A?|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|11|Ferry|S247|2000|MLI|329
20601|MPS|I|Import|N|MPS / MCPS|C|CARGA|42163|HAMBURG SUD?|10|MARITIMA DEL MEDITERRANEO SA|MARITIMA DEL MEDITERRANEO SA|PS ZONA FRANCA|TORRE AUDITORI|BARCELONA|08038|ES|+34932987777|+34932683359|info@marmedsa.com|http://www.marmedsa.com|10441|APM TERMINALS BARCELONA SLU|APM TERMINALS BARCELONA|CR Ronda del Port|Moll Sud - Port de Barcelona|BARCELONA|08039|ES|+34934410066|+34934410418|atencionclientebcn@apmterminals.com|https://www.apmterminals.com/es/barcelona|03|Portacontenedores|S|4393|TEU|37
20707|TRAS1|I|Import|N|BARCELONA-PALMA|V|BUQUE|527047|TRASMED GLE S.L.?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|17521|COMPA?IA TRASMEDITERRANEA SA|COMPA?IA TRASMEDITERRANEA SA|C MUELLE SAN BELTRAN S/N |ESTACION MARITIMA|BARCELONA|08039|ES|+34932959105|+34932959159|bcncar@trasmediterranea.es|http://www.trasmediterrranea.es|11|Ferry|H12|1800|MLI|322
20807|NEP03|I|Import|N|LINE 03|V|BUQUE|53436|NEPTUNE LINES SHIPPING?|43|NEPTUNE BARCELONA SA|NEPTUNE BARCELONA SA|AV DRASSANES|EDIF. COLON|BARCELONA|08001|ES|+34933170005|+34934121103|neptunebcn@neptune-bcn.com|http://www.neptune-bcn.com|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|S|3000|CAR|39
20809|NEP10|I|Import|N|LINE 09|V|BUQUE|53436|NEPTUNE LINES SHIPPING?|43|NEPTUNE BARCELONA SA|NEPTUNE BARCELONA SA|AV DRASSANES|EDIF. COLON|BARCELONA|08001|ES|+34933170005|+34934121103|neptunebcn@neptune-bcn.com|http://www.neptune-bcn.com|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|S|3000|CAR|39
20889|BAL5|I|Import|N|BALEARIA BCN - PALMA|V|BUQUE|23062|EUROLINEAS MARITIMAS S.A?|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|23021|EUROLINEAS MARITIMAS SA (BALEARIA)|EUROLINEAS MARITIMAS SA (BALEARIA)|C TERMINAL DRASSANES||BARCELONA|08039|ES|+34902160180|+34965990754|info@balearia.com| http://www.balearia.com|11|Ferry|S123456|2000|MLI|315
20890|TRAS2|E|Export|N|BARCELONA-BALEARS|V|BUQUE|527047|TRASMED GLE S.L.?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|17521|COMPA?IA TRASMEDITERRANEA SA|COMPA?IA TRASMEDITERRANEA SA|C MUELLE SAN BELTRAN S/N |ESTACION MARITIMA|BARCELONA|08039|ES|+34932959105|+34932959159|bcncar@trasmediterranea.es|http://www.trasmediterrranea.es|11|Ferry|S356|1800|MLI|320
20891|TRAS2|E|Export|N|BARCELONA-BALEARS|V|BUQUE|527047|TRASMED GLE S.L.?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|17521|COMPA?IA TRASMEDITERRANEA SA|COMPA?IA TRASMEDITERRANEA SA|C MUELLE SAN BELTRAN S/N |ESTACION MARITIMA|BARCELONA|08039|ES|+34932959105|+34932959159|bcncar@trasmediterranea.es|http://www.trasmediterrranea.es|11|Ferry|S236|1800|MLI|320
20892|TRAS2|I|Import|N|BARCELONA-BALEARS|V|BUQUE|527047|TRASMED GLE S.L.?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|17521|COMPA?IA TRASMEDITERRANEA SA|COMPA?IA TRASMEDITERRANEA SA|C MUELLE SAN BELTRAN S/N |ESTACION MARITIMA|BARCELONA|08039|ES|+34932959105|+34932959159|bcncar@trasmediterranea.es|http://www.trasmediterrranea.es|11|Ferry|S246|1800|MLI|320
20893|TRAS2|I|Import|N|BARCELONA-BALEARS|V|BUQUE|527047|TRASMED GLE S.L.?|35004|GRIMALDI LOGISTICA ESPA?A SL|GRIMALDI LOGISTICA ESPA?A SL|CR MUELLE DE COSTA S/N|Edif. G.L.E.|BARCELONA|08039|ES|+34935028163|+34935028166|grimaldibarcelona@grimaldilogistica.com|http://www.grimaldi-lines.com|17521|COMPA?IA TRASMEDITERRANEA SA|COMPA?IA TRASMEDITERRANEA SA|C MUELLE SAN BELTRAN S/N |ESTACION MARITIMA|BARCELONA|08039|ES|+34932959105|+34932959159|bcncar@trasmediterranea.es|http://www.trasmediterrranea.es|11|Ferry|S3457|1800|MLI|320
20926|NORAF|E|Export|N|NORD EUROPA & SUDAFRICA|V|BUQUE|12682|WALLENIUS WILHEMSEN           ?|24|AGENCIA MARITIMA ESPA?OLA EVGE SA|AGENCIA MARITIMA ESPA?OLA EVGE SA|AV Avda. Francesc Cambo||Barcelona|08003|ES|+34933905800|+34932681750|evge@evgebcn.com|http://www.evgebcn.com|743|AUTOTERMINAL SA|AUTOTERMINAL SA|C Ronda del port||Barcelona|08039|ES|+34932234833|+34932234268|cordinacionADUANA@autoterminal.es|http://www.autoterminal.es|04|Car Carrier|Q|1200|CAR|111
20965|LAN|I|Import|N|LINE ANNABA|V|BUQUE|12562|MEDITERRANEAN SHIPPING CO     ?|53155|MEDITERRANEAN SHIPPING|MEDITERRANEAN SHIPPING|C Del Foc||BARCELONA|08038|ES|+34935082300|+34935082301|ES048-ctrcontrol@msc.com|https://www.msc.com/esp|800|HUTCHISON PORTS BEST|HUTCHISON PORTS BEST|AV ESTANY DE PORT||EL PRAT DE LLOBREGAT|08820|ES|+34935084440|+34935084441|terminal.catalunya@best.com.es|http://www.best.com.es/es/|03|Portacontenedores|S|1200|TEU|57
